Compras
Empresa,Empleado,Producto,Cantidad,Precio,Total,Fecha Pedido,Fecha Recepción
Materiales El Castillo,Alan Ramirez Garcia,ladrillo hueco,150,9.0,1350.0,2015-08-03,2015-08-03 00:20:46.355
Materiales Ortiz,Alan Ramirez Garcia,ladrillo hueco,150,7.0,1050.0,2015-08-03,2015-08-03 00:25:00.857
Materiales Game,Alan Ramirez Garcia,ladrillo rojo,200,14.0,2800.0,2015-05-28,2015-05-29 18:21:46.0
Materiales Game,Alan Ramirez Garcia,teja vidriada,250,12.0,3000.0,2015-05-28,2015-05-29 18:24:00.0
Materiales Ortiz,Alan Ramirez Garcia,celosia xxxx,150,4.0,600.0,2015-05-28,2015-05-29 18:20:52.0
Materiales El Constructor,Alan Ramirez Garcia,teja vidriada,120,8.0,960.0,2015-05-28,2015-05-29 18:21:14.0
Materiales El Castillo,Alan Ramirez Garcia,teja barro prensada,200,6.0,1200.0,2015-05-28,2015-05-29 18:23:40.0
Materiales Game,Alan Ramirez Garcia,celosia xxxx,100,4.0,400.0,2015-05-28,2015-05-29 18:19:20.0
Materiales El Castillo,Alan Ramirez Garcia,teja vidriada,230,9.0,2070.0,2015-05-28,2015-05-29 18:19:49.0
Materiales Tejeda,Alan Ramirez Garcia,ladrillo rojo,340,8.0,2720.0,2015-05-28,2015-05-29 18:21:32.0
Materiales Game,Alan Ramirez Garcia,celosia xxxx,45,25.0,1125.0,2015-05-28,2015-05-29 18:19:20.0
Materiales Game,Alan Ramirez Garcia,celosia xxxx,45,25.0,1125.0,2015-05-28,2015-05-29 18:19:20.0
Materiales El Castillo,Alan Ramirez Garcia,celosia xxxx,300,12.0,3600.0,2015-05-28,2015-05-29 18:24:26.0
Materiales El Constructor,Alan Ramirez Garcia,teja barro prensada,120,6.0,720.0,2015-05-28,2015-05-29 18:24:42.0
