Compras
Empresa,Empleado,Producto,Cantidad,Precio,Total,Fecha Pedido,Fecha Recepción
Materiales El Constructor,Alan Ramirez Garcia,tabique rosado,10,9.0,90.0,2015-08-08,2015-08-08 11:07:11.12
Materiales El Castillo,Alan Ramirez Garcia,ladrillo hueco,10,11.0,110.0,2015-08-06,2015-08-06 01:45:41.035
Materiales El Castillo,Alan Ramirez Garcia,ladrillo hueco,150,9.0,1350.0,2015-08-03,2015-08-06 01:40:04.145
Materiales Ortiz,Alan Ramirez Garcia,ladrillo hueco,150,7.0,1050.0,2015-08-03,2015-08-06 01:24:31.444
Materiales Game,Alan Ramirez Garcia,celosia xxxx,100,4.0,400.0,2015-05-28,2015-08-06 01:40:35.118
Materiales El Castillo,Alan Ramirez Garcia,teja barro prensada,200,6.0,1200.0,2015-05-28,2015-05-29 18:23:40.0
Materiales El Constructor,Alan Ramirez Garcia,teja barro prensada,120,6.0,720.0,2015-05-28,2015-08-06 01:37:48.828
Materiales El Castillo,Alan Ramirez Garcia,teja vidriada,230,9.0,2070.0,2015-05-28,2015-08-10 22:43:02.02
Materiales Game,Alan Ramirez Garcia,celosia xxxx,45,25.0,1125.0,2015-05-28,2015-08-06 01:40:35.118
Materiales Game,Alan Ramirez Garcia,teja vidriada,250,12.0,3000.0,2015-05-28,2015-08-06 01:47:28.373
Materiales Tejeda,Alan Ramirez Garcia,ladrillo rojo,340,8.0,2720.0,2015-05-28,2015-08-08 08:59:25.025
Materiales Game,Alan Ramirez Garcia,ladrillo rojo,200,14.0,2800.0,2015-05-28,2015-05-29 18:21:46.0
Materiales El Constructor,Alan Ramirez Garcia,teja vidriada,120,8.0,960.0,2015-05-28,2015-08-06 01:47:22.846
Materiales Game,Alan Ramirez Garcia,celosia xxxx,45,25.0,1125.0,2015-05-28,2015-08-06 01:40:35.118
Materiales El Castillo,Alan Ramirez Garcia,celosia xxxx,300,12.0,3600.0,2015-05-28,2015-08-10 20:16:16.757
Materiales Ortiz,Alan Ramirez Garcia,celosia xxxx,150,4.0,600.0,2015-05-28,2015-08-06 01:47:18.614
